22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,	4220
22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,	4220
22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,	4220
22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,	4720
22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,	5221
22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,	5721
22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,	6207
22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,	6706
22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,	7221
22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,	7720
22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,	8221
22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,	8707
22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,	9221
22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,	9721
22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,	220
22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,	719
22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,	1218
22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,	1717
22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,	2218
22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,	2717
22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,	3216
22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,	3716
22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,	4215
22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,	4716
22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,	5217
22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,	5718
22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,	6219
22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,	6718
22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,	7218
22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,	7719
22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,	8218
22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,	8717
22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,	9216
22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,	9720
22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,22790,	219
